Probe	Status	Value	Details
command_v	MISSING		command -v KMERIA
command_v	MISSING		command -v kmeria
conda_env_list	FOUND	/data9/home/qgzeng/anaconda3/bin/conda	76 environment(s) parsed
conda_env	FOUND	aspera	/data9/home/qgzeng/.local/share/mamba/envs/aspera
conda_env	FOUND	moddot-env	/data9/home/qgzeng/.local/share/mamba/envs/moddot-env
conda_env	FOUND	svcall	/data9/home/qgzeng/.local/share/mamba/envs/svcall
conda_env	FOUND	base	/data9/home/qgzeng/anaconda3
conda_env	FOUND	Biser	/data9/home/qgzeng/anaconda3/envs/Biser
conda_env	FOUND	DeepTE	/data9/home/qgzeng/anaconda3/envs/DeepTE
conda_env	FOUND	EDTA	/data9/home/qgzeng/anaconda3/envs/EDTA
conda_env	FOUND	GS	/data9/home/qgzeng/anaconda3/envs/GS
conda_env	FOUND	LTR_retriever	/data9/home/qgzeng/anaconda3/envs/LTR_retriever
conda_env	FOUND	MobileElementFinder	/data9/home/qgzeng/anaconda3/envs/MobileElementFinder
conda_env	FOUND	RGA	/data9/home/qgzeng/anaconda3/envs/RGA
conda_env	FOUND	SD	/data9/home/qgzeng/anaconda3/envs/SD
conda_env	FOUND	SubPhaser	/data9/home/qgzeng/anaconda3/envs/SubPhaser
conda_env	FOUND	WGD	/data9/home/qgzeng/anaconda3/envs/WGD
conda_env	FOUND	access	/data9/home/qgzeng/anaconda3/envs/access
conda_env	FOUND	annotation	/data9/home/qgzeng/anaconda3/envs/annotation
conda_env	FOUND	assembly	/data9/home/qgzeng/anaconda3/envs/assembly
conda_env	FOUND	biser	/data9/home/qgzeng/anaconda3/envs/biser
conda_env	FOUND	biser_py310	/data9/home/qgzeng/anaconda3/envs/biser_py310
conda_env	FOUND	blobtools	/data9/home/qgzeng/anaconda3/envs/blobtools
conda_env	FOUND	blobtools2	/data9/home/qgzeng/anaconda3/envs/blobtools2
conda_env	FOUND	braker3	/data9/home/qgzeng/anaconda3/envs/braker3
conda_env	FOUND	busco	/data9/home/qgzeng/anaconda3/envs/busco
conda_env	FOUND	canu	/data9/home/qgzeng/anaconda3/envs/canu
conda_env	FOUND	cenh3_chipseq	/data9/home/qgzeng/anaconda3/envs/cenh3_chipseq
conda_env	FOUND	claude	/data9/home/qgzeng/anaconda3/envs/claude
conda_env	FOUND	compara	/data9/home/qgzeng/anaconda3/envs/compara
conda_env	FOUND	compleasm	/data9/home/qgzeng/anaconda3/envs/compleasm
conda_env	FOUND	cphasing	/data9/home/qgzeng/anaconda3/envs/cphasing
conda_env	FOUND	data	/data9/home/qgzeng/anaconda3/envs/data
conda_env	FOUND	defensefinder	/data9/home/qgzeng/anaconda3/envs/defensefinder
conda_env	FOUND	downdata	/data9/home/qgzeng/anaconda3/envs/downdata
conda_env	FOUND	eggnog_env	/data9/home/qgzeng/anaconda3/envs/eggnog_env
conda_env	FOUND	eviann	/data9/home/qgzeng/anaconda3/envs/eviann
